R_e,A@e,Method,RA@e,gini,p value,Run,SPH Executed,info loss,SPH A@1,CPI A@1,Avg Acc SPH+CPI,Avg RA
9,0.8266666666666667,Tailored Approach,2.4475806451612905,0.2,0.7,1.0,9.0,0.35,0.4633333333333333,0.4066666666666667,0.7073333333333333,1.837168315641081
10,0.83,Tailored Approach,2.4779116465863456,0.2,0.7,1.0,9.0,0.35,0.4633333333333333,0.4066666666666667,0.7073333333333333,1.837168315641081
1,0.39,CPI,1.0,0.2,0.8,,,,,,,
2,0.5,CPI,1.22,0.2,0.8,,,,,,,
3,0.5666666666666667,CPI,1.4294117647058824,0.2,0.8,,,,,,,
4,0.62,CPI,1.6505376344086022,0.2,0.8,,,,,,,
5,0.6466666666666666,CPI,1.788659793814433,0.2,0.8,,,,,,,
6,0.7,CPI,2.1095238095238096,0.2,0.8,,,,,,,
7,0.7333333333333333,CPI,2.331818181818182,0.2,0.8,,,,,,,
8,0.74,CPI,2.3828828828828827,0.2,0.8,,,,,,,
9,0.7566666666666667,CPI,2.5286343612334803,0.2,0.8,,,,,,,
10,0.7866666666666666,CPI,2.8135593220338984,0.2,0.8,,,,,,,
1,0.44333333333333336,Tailored Approach,1.0,0.2,0.8,1.0,9.0,0.35,0.4633333333333333,0.39,0.7026666666666668,1.8314613847636754
2,0.5333333333333333,Tailored Approach,1.16875,0.2,0.8,1.0,9.0,0.35,0.4633333333333333,0.39,0.7026666666666668,1.8314613847636754
3,0.6433333333333333,Tailored Approach,1.4818652849740932,0.2,0.8,1.0,9.0,0.35,0.4633333333333333,0.39,0.7026666666666668,1.8314613847636754
4,0.7033333333333334,Tailored Approach,1.6966824644549763,0.2,0.8,1.0,9.0,0.35,0.4633333333333333,0.39,0.7026666666666668,1.8314613847636754
5,0.7366666666666667,Tailored Approach,1.8461538461538463,0.2,0.8,1.0,9.0,0.35,0.4633333333333333,0.39,0.7026666666666668,1.8314613847636754
6,0.76,Tailored Approach,1.9736842105263157,0.2,0.8,1.0,9.0,0.35,0.4633333333333333,0.39,0.7026666666666668,1.8314613847636754
7,0.7733333333333333,Tailored Approach,2.060344827586207,0.2,0.8,1.0,9.0,0.35,0.4633333333333333,0.39,0.7026666666666668,1.8314613847636754
8,0.7933333333333333,Tailored Approach,2.2100840336134455,0.2,0.8,1.0,9.0,0.35,0.4633333333333333,0.39,0.7026666666666668,1.8314613847636754
9,0.8133333333333334,Tailored Approach,2.377049180327869,0.2,0.8,1.0,9.0,0.35,0.4633333333333333,0.39,0.7026666666666668,1.8314613847636754
10,0.8266666666666667,Tailored Approach,2.5,0.2,0.8,1.0,9.0,0.35,0.4633333333333333,0.39,0.7026666666666668,1.8314613847636754
1,0.38666666666666666,CPI,1.0,0.2,0.75,,,,,,,
2,0.51,CPI,1.2418300653594772,0.2,0.75,,,,,,,
3,0.5666666666666667,CPI,1.4176470588235295,0.2,0.75,,,,,,,
4,0.63,CPI,1.6772486772486772,0.2,0.75,,,,,,,
5,0.6633333333333333,CPI,1.8442211055276383,0.2,0.75,,,,,,,
6,0.69,CPI,2.004830917874396,0.2,0.75,,,,,,,
7,0.7033333333333334,CPI,2.0995260663507107,0.2,0.75,,,,,,,
8,0.7266666666666667,CPI,2.2889908256880735,0.2,0.75,,,,,,,
9,0.74,CPI,2.40990990990991,0.2,0.75,,,,,,,
10,0.7633333333333333,CPI,2.6419213973799125,0.2,0.75,,,,,,,
1,0.44333333333333336,Tailored Approach,1.0,0.2,0.75,1.0,9.0,0.35,0.4633333333333333,0.38666666666666666,0.7070000000000001,1.839979503417852
2,0.5333333333333333,Tailored Approach,1.16875,0.2,0.75,1.0,9.0,0.35,0.4633333333333333,0.38666666666666666,0.7070000000000001,1.839979503417852
3,0.6433333333333333,Tailored Approach,1.4818652849740932,0.2,0.75,1.0,9.0,0.35,0.4633333333333333,0.38666666666666666,0.7070000000000001,1.839979503417852
4,0.71,Tailored Approach,1.7183098591549295,0.2,0.75,1.0,9.0,0.35,0.4633333333333333,0.38666666666666666,0.7070000000000001,1.839979503417852
5,0.7433333333333333,Tailored Approach,1.8654708520179373,0.2,0.75,1.0,9.0,0.35,0.4633333333333333,0.38666666666666666,0.7070000000000001,1.839979503417852
6,0.7666666666666667,Tailored Approach,1.991304347826087,0.2,0.75,1.0,9.0,0.35,0.4633333333333333,0.38666666666666666,0.7070000000000001,1.839979503417852
7,0.78,Tailored Approach,2.076923076923077,0.2,0.75,1.0,9.0,0.35,0.4633333333333333,0.38666666666666666,0.7070000000000001,1.839979503417852
8,0.8,Tailored Approach,2.225,0.2,0.75,1.0,9.0,0.35,0.4633333333333333,0.38666666666666666,0.7070000000000001,1.839979503417852
9,0.82,Tailored Approach,2.3902439024390243,0.2,0.75,1.0,9.0,0.35,0.4633333333333333,0.38666666666666666,0.7070000000000001,1.839979503417852
10,0.83,Tailored Approach,2.4819277108433737,0.2,0.75,1.0,9.0,0.35,0.4633333333333333,0.38666666666666666,0.7070000000000001,1.839979503417852
1,0.36666666666666664,CPI,1.0,0.2,0.85,,,,,,,
2,0.47,CPI,1.2198581560283688,0.2,0.85,,,,,,,
