,Method,R_e,A@e,RA@e,Run,n_clusters,algorithm,n_components,max info loss,gini,p value
211,GMM,2,0.5166666666666667,1.0774193548387097,1,,GMM,10.0,,,
212,GMM,3,0.5366666666666666,1.1490683229813665,1,,GMM,10.0,,,
213,GMM,4,0.5466666666666666,1.201219512195122,1,,GMM,10.0,,,
214,GMM,5,0.5833333333333334,1.44,1,,GMM,10.0,,,
215,GMM,6,0.6166666666666667,1.6864864864864866,1,,GMM,10.0,,,
216,GMM,7,0.6533333333333333,1.9846938775510203,1,,GMM,10.0,,,
217,GMM,8,0.6666666666666666,2.105,1,,GMM,10.0,,,
218,GMM,9,0.69,2.3381642512077296,1,,GMM,10.0,,,
219,GMM,10,0.7066666666666667,2.518867924528302,1,,GMM,10.0,,,
220,GMM,1,0.48333333333333334,1.0,1,,GMM,15.0,,,
221,GMM,2,0.5033333333333333,1.0397350993377483,1,,GMM,15.0,,,
222,GMM,3,0.5266666666666666,1.1265822784810127,1,,GMM,15.0,,,
223,GMM,4,0.5433333333333333,1.2147239263803682,1,,GMM,15.0,,,
224,GMM,5,0.5666666666666667,1.3705882352941177,1,,GMM,15.0,,,
225,GMM,6,0.59,1.5536723163841808,1,,GMM,15.0,,,
226,GMM,7,0.6066666666666667,1.7032967032967032,1,,GMM,15.0,,,
227,GMM,8,0.6266666666666667,1.9042553191489362,1,,GMM,15.0,,,
228,GMM,9,0.6366666666666667,2.0157068062827226,1,,GMM,15.0,,,
229,GMM,10,0.65,2.1794871794871793,1,,GMM,15.0,,,
230,GMM,1,0.45666666666666667,1.0,1,,GMM,20.0,,,
231,GMM,2,0.4866666666666667,1.0616438356164384,1,,GMM,20.0,,,
232,GMM,3,0.52,1.185897435897436,1,,GMM,20.0,,,
233,GMM,4,0.5433333333333333,1.3067484662576687,1,,GMM,20.0,,,
234,GMM,5,0.5533333333333333,1.3734939759036144,1,,GMM,20.0,,,
235,GMM,6,0.57,1.5087719298245614,1,,GMM,20.0,,,
236,GMM,7,0.5833333333333334,1.6342857142857143,1,,GMM,20.0,,,
237,GMM,8,0.6,1.8111111111111111,1,,GMM,20.0,,,
238,GMM,9,0.62,2.043010752688172,1,,GMM,20.0,,,
239,GMM,10,0.63,2.1693121693121693,1,,GMM,20.0,,,
240,GMM,1,0.45,1.0,1,,GMM,25.0,,,
241,GMM,2,0.4633333333333333,1.0287769784172662,1,,GMM,25.0,,,
242,GMM,3,0.49333333333333335,1.1486486486486487,1,,GMM,25.0,,,
243,GMM,4,0.5,1.1866666666666668,1,,GMM,25.0,,,
244,GMM,5,0.5266666666666666,1.379746835443038,1,,GMM,25.0,,,
245,GMM,6,0.5533333333333333,1.6024096385542168,1,,GMM,25.0,,,
246,GMM,7,0.5866666666666667,1.9090909090909092,1,,GMM,25.0,,,
247,GMM,8,0.6,2.0444444444444443,1,,GMM,25.0,,,
248,GMM,9,0.63,2.375661375661376,1,,GMM,25.0,,,
249,GMM,10,0.6433333333333333,2.533678756476684,1,,GMM,25.0,,,
