R_e,A@e,Method,RA@e,gini,p value,Run,SPH Executed,info loss,SPH A@1,CPI A@1,Avg Acc SPH+CPI,Avg RA
1,0.23,Tailored Approach,1.0,0.2,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.5186666666666666,2.203277034182702
2,0.36666666666666664,Tailored Approach,1.3727272727272728,0.2,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.5186666666666666,2.203277034182702
3,0.46,Tailored Approach,1.7028985507246377,0.2,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.5186666666666666,2.203277034182702
4,0.49666666666666665,Tailored Approach,1.8724832214765101,0.2,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.5186666666666666,2.203277034182702
5,0.5233333333333333,Tailored Approach,2.031847133757962,0.2,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.5186666666666666,2.203277034182702
6,0.56,Tailored Approach,2.2916666666666665,0.2,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.5186666666666666,2.203277034182702
7,0.6033333333333334,Tailored Approach,2.6298342541436464,0.2,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.5186666666666666,2.203277034182702
8,0.63,Tailored Approach,2.857142857142857,0.2,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.5186666666666666,2.203277034182702
9,0.6466666666666666,Tailored Approach,3.015463917525773,0.2,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.5186666666666666,2.203277034182702
10,0.67,Tailored Approach,3.2587064676616917,0.2,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.5186666666666666,2.203277034182702
1,0.18333333333333332,CPI,1.0,0.2,0.8,,,,,,,
2,0.27,CPI,1.3209876543209877,0.2,0.8,,,,,,,
3,0.32666666666666666,CPI,1.6122448979591837,0.2,0.8,,,,,,,
4,0.38,CPI,1.9473684210526316,0.2,0.8,,,,,,,
5,0.41,CPI,2.1707317073170733,0.2,0.8,,,,,,,
6,0.44,CPI,2.4318181818181817,0.2,0.8,,,,,,,
7,0.48333333333333334,CPI,2.8413793103448275,0.2,0.8,,,,,,,
8,0.51,CPI,3.111111111111111,0.2,0.8,,,,,,,
9,0.5566666666666666,CPI,3.604790419161677,0.2,0.8,,,,,,,
10,0.59,CPI,3.9661016949152543,0.2,0.8,,,,,,,
1,0.22,Tailored Approach,1.0,0.2,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5146666666666667,2.214124668399692
2,0.36333333333333334,Tailored Approach,1.3944954128440368,0.2,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5146666666666667,2.214124668399692
3,0.45666666666666667,Tailored Approach,1.7226277372262773,0.2,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5146666666666667,2.214124668399692
4,0.5,Tailored Approach,1.92,0.2,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5146666666666667,2.214124668399692
5,0.5233333333333333,Tailored Approach,2.0573248407643314,0.2,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5146666666666667,2.214124668399692
6,0.5533333333333333,Tailored Approach,2.2710843373493974,0.2,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5146666666666667,2.214124668399692
7,0.5966666666666667,Tailored Approach,2.6145251396648046,0.2,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5146666666666667,2.214124668399692
8,0.6233333333333333,Tailored Approach,2.8449197860962565,0.2,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5146666666666667,2.214124668399692
9,0.6433333333333333,Tailored Approach,3.0362694300518136,0.2,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5146666666666667,2.214124668399692
10,0.6666666666666666,Tailored Approach,3.28,0.2,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5146666666666667,2.214124668399692
1,0.18333333333333332,CPI,1.0,0.2,0.75,,,,,,,
2,0.27,CPI,1.3209876543209877,0.2,0.75,,,,,,,
3,0.32666666666666666,CPI,1.6122448979591837,0.2,0.75,,,,,,,
4,0.38,CPI,1.9473684210526316,0.2,0.75,,,,,,,
5,0.41,CPI,2.1707317073170733,0.2,0.75,,,,,,,
6,0.44,CPI,2.4318181818181817,0.2,0.75,,,,,,,
7,0.48333333333333334,CPI,2.8413793103448275,0.2,0.75,,,,,,,
8,0.51,CPI,3.111111111111111,0.2,0.75,,,,,,,
9,0.5566666666666666,CPI,3.604790419161677,0.2,0.75,,,,,,,
10,0.59,CPI,3.9661016949152543,0.2,0.75,,,,,,,
1,0.22333333333333333,Tailored Approach,1.0,0.2,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5136666666666667,2.2185116233936326
2,0.36,Tailored Approach,1.3796296296296295,0.2,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5136666666666667,2.2185116233936326
3,0.4533333333333333,Tailored Approach,1.713235294117647,0.2,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5136666666666667,2.2185116233936326
4,0.49666666666666665,Tailored Approach,1.912751677852349,0.2,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5136666666666667,2.2185116233936326
5,0.52,Tailored Approach,2.051282051282051,0.2,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5136666666666667,2.2185116233936326
6,0.5533333333333333,Tailored Approach,2.289156626506024,0.2,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5136666666666667,2.2185116233936326
7,0.5966666666666667,Tailored Approach,2.631284916201117,0.2,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5136666666666667,2.2185116233936326
8,0.6233333333333333,Tailored Approach,2.8609625668449197,0.2,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5136666666666667,2.2185116233936326
9,0.6433333333333333,Tailored Approach,3.051813471502591,0.2,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5136666666666667,2.2185116233936326
10,0.6666666666666666,Tailored Approach,3.295,0.2,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5136666666666667,2.2185116233936326
1,0.14666666666666667,CPI,1.0,0.2,0.85,,,,,,,
2,0.24333333333333335,CPI,1.3972602739726028,0.2,0.85,,,,,,,
3,0.30333333333333334,CPI,1.7142857142857142,0.2,0.85,,,,,,,
4,0.3466666666666667,CPI,2.0,0.2,0.85,,,,,,,
5,0.38666666666666666,CPI,2.310344827586207,0.2,0.85,,,,,,,
6,0.4166666666666667,CPI,2.576,0.2,0.85,,,,,,,
7,0.43,CPI,2.7131782945736433,0.2,0.85,,,,,,,
8,0.45666666666666667,CPI,3.021897810218978,0.2,0.85,,,,,,,
9,0.48,CPI,3.3125,0.2,0.85,,,,,,,
10,0.5033333333333333,CPI,3.622516556291391,0.2,0.85,,,,,,,
1,0.22,Tailored Approach,1.0,0.2,0.85,1.0,8.0,0.35,0.23333333333333334,0.14666666666666667,0.5133333333333333,2.2122867875496435
2,0.36,Tailored Approach,1.3888888888888888,0.2,0.85,1.0,8.0,0.35,0.23333333333333334,0.14666666666666667,0.5133333333333333,2.2122867875496435
3,0.45666666666666667,Tailored Approach,1.72992700729927,0.2,0.85,1.0,8.0,0.35,0.23333333333333334,0.14666666666666667,0.5133333333333333,2.2122867875496435
4,0.5,Tailored Approach,1.9266666666666667,0.2,0.85,1.0,8.0,0.35,0.23333333333333334,0.14666666666666667,0.5133333333333333,2.2122867875496435
5,0.5233333333333333,Tailored Approach,2.0636942675159236,0.2,0.85,1.0,8.0,0.35,0.23333333333333334,0.14666666666666667,0.5133333333333333,2.2122867875496435
6,0.5533333333333333,Tailored Approach,2.2771084337349397,0.2,0.85,1.0,8.0,0.35,0.23333333333333334,0.14666666666666667,0.5133333333333333,2.2122867875496435
7,0.5933333333333334,Tailored Approach,2.595505617977528,0.2,0.85,1.0,8.0,0.35,0.23333333333333334,0.14666666666666667,0.5133333333333333,2.2122867875496435
8,0.62,Tailored Approach,2.827956989247312,0.2,0.85,1.0,8.0,0.35,0.23333333333333334,0.14666666666666667,0.5133333333333333,2.2122867875496435
9,0.6433333333333333,Tailored Approach,3.051813471502591,0.2,0.85,1.0,8.0,0.35,0.23333333333333334,0.14666666666666667,0.5133333333333333,2.2122867875496435
10,0.6633333333333333,Tailored Approach,3.2613065326633164,0.2,0.85,1.0,8.0,0.35,0.23333333333333334,0.14666666666666667,0.5133333333333333,2.2122867875496435
1,0.2,CPI,1.0,0.4,0.7,,,,,,,
2,0.3233333333333333,CPI,1.3814432989690721,0.4,0.7,,,,,,,
3,0.37333333333333335,CPI,1.5982142857142858,0.4,0.7,,,,,,,
4,0.4,CPI,1.7583333333333333,0.4,0.7,,,,,,,
5,0.43666666666666665,CPI,2.030534351145038,0.4,0.7,,,,,,,
6,0.46,CPI,2.2318840579710146,0.4,0.7,,,,,,,
7,0.47333333333333333,CPI,2.3661971830985915,0.4,0.7,,,,,,,
8,0.49666666666666665,CPI,2.6308724832214767,0.4,0.7,,,,,,,
9,0.5233333333333333,CPI,2.9554140127388533,0.4,0.7,,,,,,,
10,0.5366666666666666,CPI,3.130434782608696,0.4,0.7,,,,,,,
1,0.22666666666666666,Tailored Approach,1.0,0.4,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.5266666666666666,2.217005960883536
2,0.37333333333333335,Tailored Approach,1.3928571428571428,0.4,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.5266666666666666,2.217005960883536
3,0.4633333333333333,Tailored Approach,1.7050359712230216,0.4,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.5266666666666666,2.217005960883536
4,0.5033333333333333,Tailored Approach,1.8874172185430464,0.4,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.5266666666666666,2.217005960883536
5,0.5333333333333333,Tailored Approach,2.0625,0.4,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.5266666666666666,2.217005960883536
6,0.57,Tailored Approach,2.3157894736842106,0.4,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.5266666666666666,2.217005960883536
7,0.62,Tailored Approach,2.693548387096774,0.4,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.5266666666666666,2.217005960883536
8,0.6433333333333333,Tailored Approach,2.8860103626943006,0.4,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.5266666666666666,2.217005960883536
9,0.6566666666666666,Tailored Approach,3.010152284263959,0.4,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.5266666666666666,2.217005960883536
10,0.6766666666666666,Tailored Approach,3.2167487684729066,0.4,0.7,1.0,8.0,0.35,0.23333333333333334,0.2,0.5266666666666666,2.217005960883536
1,0.18333333333333332,CPI,1.0,0.4,0.8,,,,,,,
2,0.27,CPI,1.3209876543209877,0.4,0.8,,,,,,,
3,0.32666666666666666,CPI,1.6122448979591837,0.4,0.8,,,,,,,
4,0.38,CPI,1.9473684210526316,0.4,0.8,,,,,,,
5,0.41,CPI,2.1707317073170733,0.4,0.8,,,,,,,
6,0.44,CPI,2.4318181818181817,0.4,0.8,,,,,,,
7,0.48333333333333334,CPI,2.8413793103448275,0.4,0.8,,,,,,,
8,0.51,CPI,3.111111111111111,0.4,0.8,,,,,,,
9,0.5566666666666666,CPI,3.604790419161677,0.4,0.8,,,,,,,
10,0.59,CPI,3.9661016949152543,0.4,0.8,,,,,,,
1,0.22,Tailored Approach,1.0,0.4,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.522,2.229402812211088
2,0.37,Tailored Approach,1.4054054054054055,0.4,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.522,2.229402812211088
3,0.46,Tailored Approach,1.7173913043478262,0.4,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.522,2.229402812211088
4,0.5,Tailored Approach,1.9,0.4,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.522,2.229402812211088
5,0.5266666666666666,Tailored Approach,2.0569620253164556,0.4,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.522,2.229402812211088
6,0.5633333333333334,Tailored Approach,2.3136094674556213,0.4,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.522,2.229402812211088
7,0.6133333333333333,Tailored Approach,2.6956521739130435,0.4,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.522,2.229402812211088
8,0.64,Tailored Approach,2.9166666666666665,0.4,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.522,2.229402812211088
9,0.6533333333333333,Tailored Approach,3.0408163265306123,0.4,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.522,2.229402812211088
10,0.6733333333333333,Tailored Approach,3.2475247524752477,0.4,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.522,2.229402812211088
1,0.18333333333333332,CPI,1.0,0.4,0.75,,,,,,,
2,0.27,CPI,1.3209876543209877,0.4,0.75,,,,,,,
3,0.32666666666666666,CPI,1.6122448979591837,0.4,0.75,,,,,,,
4,0.38,CPI,1.9473684210526316,0.4,0.75,,,,,,,
5,0.41,CPI,2.1707317073170733,0.4,0.75,,,,,,,
6,0.44,CPI,2.4318181818181817,0.4,0.75,,,,,,,
7,0.48333333333333334,CPI,2.8413793103448275,0.4,0.75,,,,,,,
8,0.51,CPI,3.111111111111111,0.4,0.75,,,,,,,
9,0.5566666666666666,CPI,3.604790419161677,0.4,0.75,,,,,,,
10,0.59,CPI,3.9661016949152543,0.4,0.75,,,,,,,
1,0.22,Tailored Approach,1.0,0.4,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.522,2.229402812211088
2,0.37,Tailored Approach,1.4054054054054055,0.4,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.522,2.229402812211088
3,0.46,Tailored Approach,1.7173913043478262,0.4,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.522,2.229402812211088
4,0.5,Tailored Approach,1.9,0.4,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.522,2.229402812211088
5,0.5266666666666666,Tailored Approach,2.0569620253164556,0.4,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.522,2.229402812211088
6,0.5633333333333334,Tailored Approach,2.3136094674556213,0.4,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.522,2.229402812211088
7,0.6133333333333333,Tailored Approach,2.6956521739130435,0.4,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.522,2.229402812211088
