R_e,A@e,Method,gini,p value,Run,SPH Executed,info loss,SPH A@1,RF+B A@1,CPI A@1,Avg Acc SPH+CPI
4,0.5066666666666667,Tailored Approach,0.3,0.95,1.0,9.0,0.25,0.24333333333333335,0.21,0.13666666666666666,0.5193333333333333
5,0.55,Tailored Approach,0.3,0.95,1.0,9.0,0.25,0.24333333333333335,0.21,0.13666666666666666,0.5193333333333333
6,0.58,Tailored Approach,0.3,0.95,1.0,9.0,0.25,0.24333333333333335,0.21,0.13666666666666666,0.5193333333333333
7,0.62,Tailored Approach,0.3,0.95,1.0,9.0,0.25,0.24333333333333335,0.21,0.13666666666666666,0.5193333333333333
8,0.64,Tailored Approach,0.3,0.95,1.0,9.0,0.25,0.24333333333333335,0.21,0.13666666666666666,0.5193333333333333
9,0.66,Tailored Approach,0.3,0.95,1.0,9.0,0.25,0.24333333333333335,0.21,0.13666666666666666,0.5193333333333333
10,0.6833333333333333,Tailored Approach,0.3,0.95,1.0,9.0,0.25,0.24333333333333335,0.21,0.13666666666666666,0.5193333333333333
1,0.20666666666666667,CPI,,,,,,,,,
2,0.29333333333333333,CPI,,,,,,,,,
3,0.36333333333333334,CPI,,,,,,,,,
4,0.42,CPI,,,,,,,,,
5,0.44666666666666666,CPI,,,,,,,,,
6,0.47333333333333333,CPI,,,,,,,,,
7,0.5133333333333333,CPI,,,,,,,,,
8,0.54,CPI,,,,,,,,,
9,0.5566666666666666,CPI,,,,,,,,,
10,0.5933333333333334,CPI,,,,,,,,,
1,0.24,Tailored Approach,0.35,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5373333333333334
2,0.37,Tailored Approach,0.35,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5373333333333334
3,0.4666666666666667,Tailored Approach,0.35,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5373333333333334
4,0.5066666666666667,Tailored Approach,0.35,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5373333333333334
5,0.55,Tailored Approach,0.35,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5373333333333334
6,0.5866666666666667,Tailored Approach,0.35,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5373333333333334
7,0.63,Tailored Approach,0.35,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5373333333333334
8,0.6533333333333333,Tailored Approach,0.35,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5373333333333334
9,0.6766666666666666,Tailored Approach,0.35,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5373333333333334
10,0.6933333333333334,Tailored Approach,0.35,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5373333333333334
1,0.20666666666666667,CPI,,,,,,,,,
2,0.29333333333333333,CPI,,,,,,,,,
3,0.36333333333333334,CPI,,,,,,,,,
4,0.42,CPI,,,,,,,,,
5,0.44666666666666666,CPI,,,,,,,,,
6,0.47333333333333333,CPI,,,,,,,,,
7,0.5133333333333333,CPI,,,,,,,,,
8,0.54,CPI,,,,,,,,,
9,0.5566666666666666,CPI,,,,,,,,,
10,0.5933333333333334,CPI,,,,,,,,,
1,0.24,Tailored Approach,0.35,0.75,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5373333333333334
2,0.37,Tailored Approach,0.35,0.75,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5373333333333334
3,0.4666666666666667,Tailored Approach,0.35,0.75,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5373333333333334
4,0.5066666666666667,Tailored Approach,0.35,0.75,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5373333333333334
5,0.55,Tailored Approach,0.35,0.75,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5373333333333334
6,0.5866666666666667,Tailored Approach,0.35,0.75,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5373333333333334
7,0.63,Tailored Approach,0.35,0.75,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5373333333333334
8,0.6533333333333333,Tailored Approach,0.35,0.75,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5373333333333334
9,0.6766666666666666,Tailored Approach,0.35,0.75,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5373333333333334
10,0.6933333333333334,Tailored Approach,0.35,0.75,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5373333333333334
1,0.14666666666666667,CPI,,,,,,,,,
2,0.25,CPI,,,,,,,,,
3,0.3233333333333333,CPI,,,,,,,,,
4,0.38333333333333336,CPI,,,,,,,,,
5,0.41,CPI,,,,,,,,,
6,0.43,CPI,,,,,,,,,
7,0.45666666666666667,CPI,,,,,,,,,
8,0.47333333333333333,CPI,,,,,,,,,
9,0.5,CPI,,,,,,,,,
10,0.5333333333333333,CPI,,,,,,,,,
1,0.24333333333333335,Tailored Approach,0.35,0.8,1.0,9.0,0.25,0.24333333333333335,0.21,0.14666666666666667,0.5403333333333332
