Method,R_e,A@e,RA@e,Run,n,f,max info loss,n_clusters,algorithm,n_components,gini,p value
GMM,10,0.7866666666666666,2.847457627118644,1,1050,100,,,GMM,30.0,,
GMM,1,0.3,1.0,1,1050,100,,,GMM,35.0,,
GMM,2,0.46,1.3478260869565217,1,1050,100,,,GMM,35.0,,
GMM,3,0.5166666666666667,1.5290322580645161,1,1050,100,,,GMM,35.0,,
GMM,4,0.57,1.760233918128655,1,1050,100,,,GMM,35.0,,
GMM,5,0.6433333333333333,2.1295336787564767,1,1050,100,,,GMM,35.0,,
GMM,6,0.6733333333333333,2.301980198019802,1,1050,100,,,GMM,35.0,,
GMM,7,0.6833333333333333,2.370731707317073,1,1050,100,,,GMM,35.0,,
GMM,8,0.7,2.5047619047619047,1,1050,100,,,GMM,35.0,,
GMM,9,0.7133333333333334,2.6261682242990654,1,1050,100,,,GMM,35.0,,
GMM,10,0.7266666666666667,2.761467889908257,1,1050,100,,,GMM,35.0,,
GMM,1,0.32,1.0,1,1050,100,,,GMM,40.0,,
GMM,2,0.46,1.3043478260869565,1,1050,100,,,GMM,40.0,,
GMM,3,0.5266666666666666,1.518987341772152,1,1050,100,,,GMM,40.0,,
GMM,4,0.59,1.7853107344632768,1,1050,100,,,GMM,40.0,,
GMM,5,0.6766666666666666,2.1970443349753697,1,1050,100,,,GMM,40.0,,
GMM,6,0.7033333333333334,2.3412322274881516,1,1050,100,,,GMM,40.0,,
GMM,7,0.7066666666666667,2.3632075471698113,1,1050,100,,,GMM,40.0,,
GMM,8,0.7166666666666667,2.441860465116279,1,1050,100,,,GMM,40.0,,
GMM,9,0.74,2.6486486486486487,1,1050,100,,,GMM,40.0,,
GMM,10,0.75,2.7466666666666666,1,1050,100,,,GMM,40.0,,
GMM,1,0.2833333333333333,1.0,1,1050,100,,,GMM,45.0,,
GMM,2,0.44666666666666666,1.3656716417910448,1,1050,100,,,GMM,45.0,,
GMM,3,0.5366666666666666,1.639751552795031,1,1050,100,,,GMM,45.0,,
GMM,4,0.6233333333333333,1.967914438502674,1,1050,100,,,GMM,45.0,,
GMM,5,0.6933333333333334,2.2740384615384617,1,1050,100,,,GMM,45.0,,
GMM,6,0.7233333333333334,2.4285714285714284,1,1050,100,,,GMM,45.0,,
GMM,7,0.75,2.591111111111111,1,1050,100,,,GMM,45.0,,
GMM,8,0.76,2.662280701754386,1,1050,100,,,GMM,45.0,,
GMM,9,0.7766666666666666,2.7982832618025753,1,1050,100,,,GMM,45.0,,
GMM,10,0.7933333333333333,2.9495798319327733,1,1050,100,,,GMM,45.0,,
GMM,1,0.3,1.0,1,1050,100,,,GMM,50.0,,
GMM,2,0.45666666666666667,1.3430656934306568,1,1050,100,,,GMM,50.0,,
GMM,3,0.5133333333333333,1.525974025974026,1,1050,100,,,GMM,50.0,,
GMM,4,0.5966666666666667,1.8715083798882681,1,1050,100,,,GMM,50.0,,
GMM,5,0.6533333333333333,2.142857142857143,1,1050,100,,,GMM,50.0,,
GMM,6,0.6766666666666666,2.2758620689655173,1,1050,100,,,GMM,50.0,,
GMM,7,0.6966666666666667,2.411483253588517,1,1050,100,,,GMM,50.0,,
GMM,8,0.71,2.516431924882629,1,1050,100,,,GMM,50.0,,
GMM,9,0.71,2.516431924882629,1,1050,100,,,GMM,50.0,,
GMM,10,0.73,2.721461187214612,1,1050,100,,,GMM,50.0,,
Birch,1,0.32,1.0,1,1050,100,,10.0,Birch,,,
Birch,2,0.49333333333333335,1.3513513513513513,1,1050,100,,10.0,Birch,,,
Birch,3,0.5666666666666667,1.5647058823529412,1,1050,100,,10.0,Birch,,,
Birch,4,0.6433333333333333,1.854922279792746,1,1050,100,,10.0,Birch,,,
Birch,5,0.7133333333333334,2.163551401869159,1,1050,100,,10.0,Birch,,,
Birch,6,0.7433333333333333,2.318385650224215,1,1050,100,,10.0,Birch,,,
Birch,7,0.77,2.4805194805194803,1,1050,100,,10.0,Birch,,,
Birch,8,0.8,2.6875,1,1050,100,,10.0,Birch,,,
Birch,9,0.81,2.765432098765432,1,1050,100,,10.0,Birch,,,
Birch,10,0.82,2.8536585365853657,1,1050,100,,10.0,Birch,,,
Birch,1,0.3433333333333333,1.0,1,1050,100,,15.0,Birch,,,
Birch,2,0.52,1.3397435897435896,1,1050,100,,15.0,Birch,,,
Birch,3,0.61,1.5846994535519126,1,1050,100,,15.0,Birch,,,
Birch,4,0.6933333333333334,1.875,1,1050,100,,15.0,Birch,,,
Birch,5,0.7466666666666667,2.0982142857142856,1,1050,100,,15.0,Birch,,,
Birch,6,0.7966666666666666,2.3430962343096233,1,1050,100,,15.0,Birch,,,
Birch,7,0.8066666666666666,2.4008264462809916,1,1050,100,,15.0,Birch,,,
Birch,8,0.82,2.491869918699187,1,1050,100,,15.0,Birch,,,
Birch,9,0.8366666666666667,2.6215139442231075,1,1050,100,,15.0,Birch,,,
Birch,10,0.8433333333333334,2.6798418972332017,1,1050,100,,15.0,Birch,,,
Birch,1,0.35333333333333333,1.0,1,1050,100,,20.0,Birch,,,
Birch,2,0.5533333333333333,1.3614457831325302,1,1050,100,,20.0,Birch,,,
Birch,3,0.6333333333333333,1.568421052631579,1,1050,100,,20.0,Birch,,,
Birch,4,0.71,1.8309859154929577,1,1050,100,,20.0,Birch,,,
Birch,5,0.78,2.1153846153846154,1,1050,100,,20.0,Birch,,,
Birch,6,0.8233333333333334,2.3198380566801617,1,1050,100,,20.0,Birch,,,
Birch,7,0.8366666666666667,2.394422310756972,1,1050,100,,20.0,Birch,,,
Birch,8,0.8533333333333334,2.50390625,1,1050,100,,20.0,Birch,,,
Birch,9,0.8666666666666667,2.603846153846154,1,1050,100,,20.0,Birch,,,
Birch,10,0.8933333333333333,2.824626865671642,1,1050,100,,20.0,Birch,,,
Birch,1,0.3466666666666667,1.0,1,1050,100,,25.0,Birch,,,
Birch,2,0.54,1.3580246913580247,1,1050,100,,25.0,Birch,,,
Birch,3,0.61,1.546448087431694,1,1050,100,,25.0,Birch,,,
Birch,4,0.6766666666666666,1.7881773399014778,1,1050,100,,25.0,Birch,,,
Birch,5,0.7666666666666667,2.1652173913043478,1,1050,100,,25.0,Birch,,,
Birch,6,0.8166666666666667,2.4,1,1050,100,,25.0,Birch,,,
Birch,7,0.8366666666666667,2.50996015936255,1,1050,100,,25.0,Birch,,,
Birch,8,0.85,2.596078431372549,1,1050,100,,25.0,Birch,,,
Birch,9,0.8633333333333333,2.694980694980695,1,1050,100,,25.0,Birch,,,
Birch,10,0.8933333333333333,2.9402985074626864,1,1050,100,,25.0,Birch,,,
Birch,1,0.35,1.0,1,1050,100,,26.0,Birch,,,
Birch,2,0.54,1.3518518518518519,1,1050,100,,26.0,Birch,,,
Birch,3,0.61,1.540983606557377,1,1050,100,,26.0,Birch,,,
Birch,4,0.68,1.7941176470588236,1,1050,100,,26.0,Birch,,,
Birch,5,0.7666666666666667,2.1565217391304348,1,1050,100,,26.0,Birch,,,
Birch,6,0.8166666666666667,2.3918367346938774,1,1050,100,,26.0,Birch,,,
Birch,7,0.84,2.5198412698412698,1,1050,100,,26.0,Birch,,,
Birch,8,0.8533333333333334,2.60546875,1,1050,100,,26.0,Birch,,,
Birch,9,0.8666666666666667,2.703846153846154,1,1050,100,,26.0,Birch,,,
Birch,10,0.8933333333333333,2.921641791044776,1,1050,100,,26.0,Birch,,,
Birch,1,0.35,1.0,1,1050,100,,30.0,Birch,,,
Birch,2,0.51,1.3137254901960784,1,1050,100,,30.0,Birch,,,
Birch,3,0.5833333333333334,1.5257142857142858,1,1050,100,,30.0,Birch,,,
Birch,4,0.6766666666666666,1.8669950738916257,1,1050,100,,30.0,Birch,,,
Birch,5,0.7633333333333333,2.222707423580786,1,1050,100,,30.0,Birch,,,
Birch,6,0.8033333333333333,2.4107883817427385,1,1050,100,,30.0,Birch,,,
Birch,7,0.8233333333333334,2.522267206477733,1,1050,100,,30.0,Birch,,,
Birch,8,0.8366666666666667,2.6095617529880477,1,1050,100,,30.0,Birch,,,
