Method,R_e,A@e,RA@e,Run,max info loss,n,f,mf,n_clusters,algorithm,n_components,gini,p value
KMeans,3,0.7266666666666667,1.4495412844036697,1,,1050,100,0.2,26.0,KMeans,,,
KMeans,4,0.8033333333333333,1.6929460580912863,1,,1050,100,0.2,26.0,KMeans,,,
KMeans,5,0.8366666666666667,1.8247011952191234,1,,1050,100,0.2,26.0,KMeans,,,
KMeans,6,0.8466666666666667,1.874015748031496,1,,1050,100,0.2,26.0,KMeans,,,
KMeans,7,0.8533333333333334,1.9140625,1,,1050,100,0.2,26.0,KMeans,,,
KMeans,8,0.8633333333333333,1.9845559845559846,1,,1050,100,0.2,26.0,KMeans,,,
KMeans,9,0.8766666666666667,2.091254752851711,1,,1050,100,0.2,26.0,KMeans,,,
KMeans,10,0.89,2.209737827715356,1,,1050,100,0.2,26.0,KMeans,,,
KMeans,1,0.49333333333333335,1.0,1,,1050,100,0.2,30.0,KMeans,,,
KMeans,2,0.6433333333333333,1.233160621761658,1,,1050,100,0.2,30.0,KMeans,,,
KMeans,3,0.7233333333333334,1.4285714285714286,1,,1050,100,0.2,30.0,KMeans,,,
KMeans,4,0.7866666666666666,1.6355932203389831,1,,1050,100,0.2,30.0,KMeans,,,
KMeans,5,0.82,1.7723577235772359,1,,1050,100,0.2,30.0,KMeans,,,
KMeans,6,0.84,1.873015873015873,1,,1050,100,0.2,30.0,KMeans,,,
KMeans,7,0.85,1.9333333333333333,1,,1050,100,0.2,30.0,KMeans,,,
KMeans,8,0.85,1.9333333333333333,1,,1050,100,0.2,30.0,KMeans,,,
KMeans,9,0.8633333333333333,2.0424710424710426,1,,1050,100,0.2,30.0,KMeans,,,
KMeans,10,0.8833333333333333,2.2226415094339624,1,,1050,100,0.2,30.0,KMeans,,,
KMeans,1,0.4766666666666667,1.0,1,,1050,100,0.2,35.0,KMeans,,,
KMeans,2,0.6433333333333333,1.2590673575129534,1,,1050,100,0.2,35.0,KMeans,,,
KMeans,3,0.7366666666666667,1.4796380090497738,1,,1050,100,0.2,35.0,KMeans,,,
KMeans,4,0.8033333333333333,1.6887966804979253,1,,1050,100,0.2,35.0,KMeans,,,
KMeans,5,0.81,1.7160493827160495,1,,1050,100,0.2,35.0,KMeans,,,
KMeans,6,0.8266666666666667,1.8024193548387097,1,,1050,100,0.2,35.0,KMeans,,,
KMeans,7,0.8366666666666667,1.8645418326693226,1,,1050,100,0.2,35.0,KMeans,,,
KMeans,8,0.8566666666666667,2.007782101167315,1,,1050,100,0.2,35.0,KMeans,,,
KMeans,9,0.8666666666666667,2.0884615384615386,1,,1050,100,0.2,35.0,KMeans,,,
KMeans,10,0.87,2.1187739463601534,1,,1050,100,0.2,35.0,KMeans,,,
KMeans,1,0.49666666666666665,1.0,1,,1050,100,0.2,40.0,KMeans,,,
KMeans,2,0.64,1.2239583333333333,1,,1050,100,0.2,40.0,KMeans,,,
KMeans,3,0.72,1.4212962962962963,1,,1050,100,0.2,40.0,KMeans,,,
KMeans,4,0.78,1.6196581196581197,1,,1050,100,0.2,40.0,KMeans,,,
KMeans,5,0.8233333333333334,1.7975708502024292,1,,1050,100,0.2,40.0,KMeans,,,
KMeans,6,0.8366666666666667,1.8645418326693226,1,,1050,100,0.2,40.0,KMeans,,,
KMeans,7,0.8433333333333334,1.9051383399209487,1,,1050,100,0.2,40.0,KMeans,,,
KMeans,8,0.85,1.9529411764705882,1,,1050,100,0.2,40.0,KMeans,,,
KMeans,9,0.8566666666666667,2.007782101167315,1,,1050,100,0.2,40.0,KMeans,,,
KMeans,10,0.8633333333333333,2.0694980694980694,1,,1050,100,0.2,40.0,KMeans,,,
KMeans,1,0.47333333333333333,1.0,1,,1050,100,0.2,45.0,KMeans,,,
KMeans,2,0.6366666666666667,1.256544502617801,1,,1050,100,0.2,45.0,KMeans,,,
KMeans,3,0.7066666666666667,1.429245283018868,1,,1050,100,0.2,45.0,KMeans,,,
KMeans,4,0.7833333333333333,1.6808510638297873,1,,1050,100,0.2,45.0,KMeans,,,
KMeans,5,0.7966666666666666,1.7364016736401673,1,,1050,100,0.2,45.0,KMeans,,,
KMeans,6,0.82,1.8577235772357723,1,,1050,100,0.2,45.0,KMeans,,,
KMeans,7,0.84,1.9801587301587302,1,,1050,100,0.2,45.0,KMeans,,,
KMeans,8,0.8466666666666667,2.02755905511811,1,,1050,100,0.2,45.0,KMeans,,,
KMeans,9,0.8466666666666667,2.02755905511811,1,,1050,100,0.2,45.0,KMeans,,,
KMeans,10,0.8633333333333333,2.1814671814671813,1,,1050,100,0.2,45.0,KMeans,,,
KMeans,1,0.47,1.0,1,,1050,100,0.2,50.0,KMeans,,,
KMeans,2,0.6266666666666667,1.25,1,,1050,100,0.2,50.0,KMeans,,,
KMeans,3,0.6933333333333334,1.4182692307692308,1,,1050,100,0.2,50.0,KMeans,,,
KMeans,4,0.7566666666666667,1.6343612334801763,1,,1050,100,0.2,50.0,KMeans,,,
KMeans,5,0.7866666666666666,1.7627118644067796,1,,1050,100,0.2,50.0,KMeans,,,
KMeans,6,0.8066666666666666,1.8677685950413223,1,,1050,100,0.2,50.0,KMeans,,,
KMeans,7,0.8233333333333334,1.9716599190283401,1,,1050,100,0.2,50.0,KMeans,,,
KMeans,8,0.8366666666666667,2.0677290836653386,1,,1050,100,0.2,50.0,KMeans,,,
KMeans,9,0.8433333333333334,2.122529644268775,1,,1050,100,0.2,50.0,KMeans,,,
KMeans,10,0.85,2.184313725490196,1,,1050,100,0.2,50.0,KMeans,,,
GMM,1,0.36666666666666664,1.0,1,,1050,100,0.2,,GMM,10.0,,
GMM,2,0.4866666666666667,1.2465753424657535,1,,1050,100,0.2,,GMM,10.0,,
GMM,3,0.5466666666666666,1.4390243902439024,1,,1050,100,0.2,,GMM,10.0,,
GMM,4,0.5933333333333334,1.6404494382022472,1,,1050,100,0.2,,GMM,10.0,,
GMM,5,0.6266666666666667,1.8191489361702127,1,,1050,100,0.2,,GMM,10.0,,
GMM,6,0.64,1.90625,1,,1050,100,0.2,,GMM,10.0,,
GMM,7,0.6433333333333333,1.932642487046632,1,,1050,100,0.2,,GMM,10.0,,
GMM,8,0.65,1.994871794871795,1,,1050,100,0.2,,GMM,10.0,,
GMM,9,0.65,1.994871794871795,1,,1050,100,0.2,,GMM,10.0,,
GMM,10,0.6633333333333333,2.1557788944723617,1,,1050,100,0.2,,GMM,10.0,,
GMM,1,0.36333333333333334,1.0,1,,1050,100,0.2,,GMM,15.0,,
GMM,2,0.4866666666666667,1.2534246575342465,1,,1050,100,0.2,,GMM,15.0,,
GMM,3,0.5633333333333334,1.4911242603550297,1,,1050,100,0.2,,GMM,15.0,,
GMM,4,0.6166666666666667,1.7081081081081082,1,,1050,100,0.2,,GMM,15.0,,
GMM,5,0.6433333333333333,1.8445595854922279,1,,1050,100,0.2,,GMM,15.0,,
GMM,6,0.6466666666666666,1.865979381443299,1,,1050,100,0.2,,GMM,15.0,,
GMM,7,0.66,1.9696969696969697,1,,1050,100,0.2,,GMM,15.0,,
GMM,8,0.6733333333333333,2.089108910891089,1,,1050,100,0.2,,GMM,15.0,,
GMM,9,0.69,2.256038647342995,1,,1050,100,0.2,,GMM,15.0,,
GMM,10,0.71,2.4741784037558685,1,,1050,100,0.2,,GMM,15.0,,
GMM,1,0.34,1.0,1,,1050,100,0.2,,GMM,20.0,,
GMM,2,0.45,1.2444444444444445,1,,1050,100,0.2,,GMM,20.0,,
GMM,3,0.5133333333333333,1.4610389610389611,1,,1050,100,0.2,,GMM,20.0,,
GMM,4,0.5633333333333334,1.6863905325443787,1,,1050,100,0.2,,GMM,20.0,,
GMM,5,0.5733333333333334,1.744186046511628,1,,1050,100,0.2,,GMM,20.0,,
GMM,6,0.5933333333333334,1.8876404494382022,1,,1050,100,0.2,,GMM,20.0,,
GMM,7,0.6033333333333334,1.9723756906077348,1,,1050,100,0.2,,GMM,20.0,,
GMM,8,0.61,2.0382513661202184,1,,1050,100,0.2,,GMM,20.0,,
GMM,9,0.6233333333333333,2.1871657754010694,1,,1050,100,0.2,,GMM,20.0,,
GMM,10,0.63,2.2698412698412698,1,,1050,100,0.2,,GMM,20.0,,
GMM,1,0.3233333333333333,1.0,1,,1050,100,0.2,,GMM,25.0,,
GMM,2,0.43,1.248062015503876,1,,1050,100,0.2,,GMM,25.0,,
GMM,3,0.5066666666666667,1.513157894736842,1,,1050,100,0.2,,GMM,25.0,,
GMM,4,0.56,1.75,1,,1050,100,0.2,,GMM,25.0,,
GMM,5,0.5833333333333334,1.88,1,,1050,100,0.2,,GMM,25.0,,
GMM,6,0.5933333333333334,1.949438202247191,1,,1050,100,0.2,,GMM,25.0,,
GMM,7,0.6066666666666667,2.0604395604395602,1,,1050,100,0.2,,GMM,25.0,,
GMM,8,0.61,2.092896174863388,1,,1050,100,0.2,,GMM,25.0,,
GMM,9,0.6133333333333333,2.130434782608696,1,,1050,100,0.2,,GMM,25.0,,
GMM,10,0.6333333333333333,2.3789473684210525,1,,1050,100,0.2,,GMM,25.0,,
GMM,1,0.31666666666666665,1.0,1,,1050,100,0.2,,GMM,26.0,,
GMM,2,0.4266666666666667,1.2578125,1,,1050,100,0.2,,GMM,26.0,,
GMM,3,0.5166666666666667,1.5612903225806452,1,,1050,100,0.2,,GMM,26.0,,
GMM,4,0.57,1.7894736842105263,1,,1050,100,0.2,,GMM,26.0,,
GMM,5,0.5733333333333334,1.808139534883721,1,,1050,100,0.2,,GMM,26.0,,
GMM,6,0.5933333333333334,1.949438202247191,1,,1050,100,0.2,,GMM,26.0,,
GMM,7,0.5966666666666667,1.9776536312849162,1,,1050,100,0.2,,GMM,26.0,,
GMM,8,0.6066666666666667,2.076923076923077,1,,1050,100,0.2,,GMM,26.0,,
GMM,9,0.6233333333333333,2.2620320855614975,1,,1050,100,0.2,,GMM,26.0,,
GMM,10,0.6333333333333333,2.3842105263157896,1,,1050,100,0.2,,GMM,26.0,,
